type,id,lat,lon,name
hospital,1680866301,-21.1701459,-47.8049681,Instituto Adolfo Lutz
hospital,1680866339,-21.1697054,-47.8049574,SUS Ambulatório de Geriatria
hospital,2133184158,-21.1886065,-47.8045857,Hospital São Lucas
hospital,2915937666,-21.1843535,-47.8157713,Hospital São Paulo
hospital,2939860438,-21.1677359,-47.8057350,Hospital Santa Casa
hospital,2939860439,-21.1703422,-47.8028586,Hospital Santa Lydia
hospital,3443052209,-21.1804663,-47.8141445,Hospital da Sociedade Portuguesa de Beneficência
hospital,492635628,-21.1856911,-47.8084557,Hospital das Clinicas UE
hospital,492636301,-21.1852211,-47.8091569,Hospital São Francisco
hospital,5377993277,-21.2009565,-47.7800150,Hospital Electro Bonini
hospital,5764023997,-21.1593151,-47.7921099,Sinhá
hospital,6593937368,-21.1621489,-47.8531416,Hospital das Clínicas

